Run,Horizon,Theta,Choice,Policy,Loc_Dep,Joint,Doubly,beta,gamma,Profit
36,7,1.25,1,DCPP,1,0,0,0.0,1.0,265.69166666666666
37,7,1.25,1,DCPP,1,0,0,0.0,1.0,264.73333333333335
38,7,1.25,1,DCPP,1,0,0,0.0,1.0,263.025
39,7,1.25,1,DCPP,1,0,0,0.0,1.0,260.6666666666667
0,7,1.75,1,DCPP,1,1,0,0.0,1.0,222.54166666666663
1,7,1.75,1,DCPP,1,1,0,0.0,1.0,218.24166666666667
2,7,1.75,1,DCPP,1,1,0,0.0,1.0,225.6833333333333
3,7,1.75,1,DCPP,1,1,0,0.0,1.0,217.625
4,7,1.75,1,DCPP,1,1,0,0.0,1.0,224.48333333333332
5,7,1.75,1,DCPP,1,1,0,0.0,1.0,223.36666666666667
6,7,1.75,1,DCPP,1,1,0,0.0,1.0,226.06666666666663
7,7,1.75,1,DCPP,1,1,0,0.0,1.0,221.91666666666663
8,7,1.75,1,DCPP,1,1,0,0.0,1.0,223.425
9,7,1.75,1,DCPP,1,1,0,0.0,1.0,220.9
10,7,1.75,1,DCPP,1,1,0,0.0,1.0,221.675
11,7,1.75,1,DCPP,1,1,0,0.0,1.0,221.91666666666663
12,7,1.75,1,DCPP,1,1,0,0.0,1.0,220.1
13,7,1.75,1,DCPP,1,1,0,0.0,1.0,221.75
14,7,1.75,1,DCPP,1,1,0,0.0,1.0,227.425
15,7,1.75,1,DCPP,1,1,0,0.0,1.0,222.56666666666663
16,7,1.75,1,DCPP,1,1,0,0.0,1.0,229.99166666666667
17,7,1.75,1,DCPP,1,1,0,0.0,1.0,225.6
18,7,1.75,1,DCPP,1,1,0,0.0,1.0,222.09166666666667
19,7,1.75,1,DCPP,1,1,0,0.0,1.0,226.525
20,7,1.75,1,DCPP,1,1,0,0.0,1.0,221.14166666666668
21,7,1.75,1,DCPP,1,1,0,0.0,1.0,228.24166666666667
22,7,1.75,1,DCPP,1,1,0,0.0,1.0,227.49166666666667
23,7,1.75,1,DCPP,1,1,0,0.0,1.0,224.54166666666663
24,7,1.75,1,DCPP,1,1,0,0.0,1.0,221.23333333333332
